Total tensors: 519
v.blk.0.attn_out.bias | Float32 | [1280]
v.blk.12.ffn_up.bias | Float32 | [3420]
v.blk.12.ffn_up.weight | Float16 | [1280, 3420]
v.blk.12.ln1.weight | Float32 | [1280]
v.blk.12.ln2.weight | Float32 | [1280]
v.blk.13.attn_out.bias | Float32 | [1280]
v.blk.13.attn_out.weight | Float16 | [1280, 1280]
v.blk.13.attn_q.bias | Float32 | [1280]
v.blk.13.attn_k.bias | Float32 | [1280]
v.blk.13.attn_v.bias | Float32 | [1280]
v.blk.13.attn_q.weight | Float16 | [1280, 1280]
v.blk.13.attn_k.weight | Float16 | [1280, 1280]
v.blk.13.attn_v.weight | Float16 | [1280, 1280]
v.blk.13.ffn_down.bias | Float32 | [1280]
v.blk.13.ffn_down.weight | Float16 | [3420, 1280]
v.blk.13.ffn_gate.bias | Float32 | [3420]
v.blk.13.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.13.ffn_up.bias | Float32 | [3420]
v.blk.13.ffn_up.weight | Float16 | [1280, 3420]
v.blk.13.ln1.weight | Float32 | [1280]
v.blk.13.ln2.weight | Float32 | [1280]
v.blk.14.attn_out.bias | Float32 | [1280]
v.blk.14.attn_out.weight | Float16 | [1280, 1280]
v.blk.14.attn_q.bias | Float32 | [1280]
v.blk.14.attn_k.bias | Float32 | [1280]
v.blk.14.attn_v.bias | Float32 | [1280]
v.blk.14.attn_q.weight | Float16 | [1280, 1280]
v.blk.14.attn_k.weight | Float16 | [1280, 1280]
v.blk.14.attn_v.weight | Float16 | [1280, 1280]
v.blk.14.ffn_down.bias | Float32 | [1280]
v.blk.14.ffn_down.weight | Float16 | [3420, 1280]
v.blk.14.ffn_gate.bias | Float32 | [3420]
v.blk.14.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.14.ffn_up.bias | Float32 | [3420]
v.blk.14.ffn_up.weight | Float16 | [1280, 3420]
v.blk.14.ln1.weight | Float32 | [1280]
v.blk.14.ln2.weight | Float32 | [1280]
v.blk.15.attn_out.bias | Float32 | [1280]
v.blk.15.attn_out.weight | Float16 | [1280, 1280]
v.blk.15.attn_q.bias | Float32 | [1280]
v.blk.15.attn_k.bias | Float32 | [1280]
v.blk.15.attn_v.bias | Float32 | [1280]
v.blk.15.attn_q.weight | Float16 | [1280, 1280]
v.blk.15.attn_k.weight | Float16 | [1280, 1280]
v.blk.15.attn_v.weight | Float16 | [1280, 1280]
v.blk.15.ffn_down.bias | Float32 | [1280]
v.blk.15.ffn_down.weight | Float16 | [3420, 1280]
v.blk.15.ffn_gate.bias | Float32 | [3420]
v.blk.15.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.15.ffn_up.bias | Float32 | [3420]
v.blk.15.ffn_up.weight | Float16 | [1280, 3420]
v.blk.15.ln1.weight | Float32 | [1280]
v.blk.15.ln2.weight | Float32 | [1280]
v.blk.16.attn_out.bias | Float32 | [1280]
v.blk.16.attn_out.weight | Float16 | [1280, 1280]
v.blk.16.attn_q.bias | Float32 | [1280]
v.blk.16.attn_k.bias | Float32 | [1280]
v.blk.16.attn_v.bias | Float32 | [1280]
v.blk.16.attn_q.weight | Float16 | [1280, 1280]
v.blk.16.attn_k.weight | Float16 | [1280, 1280]
v.blk.16.attn_v.weight | Float16 | [1280, 1280]
v.blk.16.ffn_down.bias | Float32 | [1280]
v.blk.16.ffn_down.weight | Float16 | [3420, 1280]
v.blk.16.ffn_gate.bias | Float32 | [3420]
v.blk.16.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.16.ffn_up.bias | Float32 | [3420]
v.blk.16.ffn_up.weight | Float16 | [1280, 3420]
v.blk.16.ln1.weight | Float32 | [1280]
v.blk.16.ln2.weight | Float32 | [1280]
v.blk.17.attn_out.bias | Float32 | [1280]
v.blk.17.attn_out.weight | Float16 | [1280, 1280]
v.blk.17.attn_q.bias | Float32 | [1280]
v.blk.17.attn_k.bias | Float32 | [1280]
v.blk.17.attn_v.bias | Float32 | [1280]
v.blk.17.attn_q.weight | Float16 | [1280, 1280]
v.blk.17.attn_k.weight | Float16 | [1280, 1280]
v.blk.17.attn_v.weight | Float16 | [1280, 1280]
v.blk.17.ffn_down.bias | Float32 | [1280]
v.blk.17.ffn_down.weight | Float16 | [3420, 1280]
v.blk.17.ffn_gate.bias | Float32 | [3420]
v.blk.17.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.17.ffn_up.bias | Float32 | [3420]
v.blk.17.ffn_up.weight | Float16 | [1280, 3420]
v.blk.17.ln1.weight | Float32 | [1280]
v.blk.17.ln2.weight | Float32 | [1280]
v.blk.18.attn_out.bias | Float32 | [1280]
v.blk.18.attn_out.weight | Float16 | [1280, 1280]
v.blk.18.attn_q.bias | Float32 | [1280]
v.blk.18.attn_k.bias | Float32 | [1280]
v.blk.18.attn_v.bias | Float32 | [1280]
v.blk.18.attn_q.weight | Float16 | [1280, 1280]
v.blk.18.attn_k.weight | Float16 | [1280, 1280]
v.blk.18.attn_v.weight | Float16 | [1280, 1280]
v.blk.18.ffn_down.bias | Float32 | [1280]
v.blk.18.ffn_down.weight | Float16 | [3420, 1280]
v.blk.18.ffn_gate.bias | Float32 | [3420]
v.blk.18.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.18.ffn_up.bias | Float32 | [3420]
v.blk.18.ffn_up.weight | Float16 | [1280, 3420]
v.blk.18.ln1.weight | Float32 | [1280]
v.blk.18.ln2.weight | Float32 | [1280]
v.blk.19.attn_out.bias | Float32 | [1280]
v.blk.19.attn_out.weight | Float16 | [1280, 1280]
v.blk.19.attn_q.bias | Float32 | [1280]
v.blk.19.attn_k.bias | Float32 | [1280]
v.blk.19.attn_v.bias | Float32 | [1280]
v.blk.19.attn_q.weight | Float16 | [1280, 1280]
v.blk.19.attn_k.weight | Float16 | [1280, 1280]
v.blk.19.attn_v.weight | Float16 | [1280, 1280]
v.blk.19.ffn_down.bias | Float32 | [1280]
v.blk.19.ffn_down.weight | Float16 | [3420, 1280]
v.blk.19.ffn_gate.bias | Float32 | [3420]
v.blk.19.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.19.ffn_up.bias | Float32 | [3420]
v.blk.19.ffn_up.weight | Float16 | [1280, 3420]
v.blk.19.ln1.weight | Float32 | [1280]
v.blk.19.ln2.weight | Float32 | [1280]
v.blk.2.attn_out.bias | Float32 | [1280]
v.blk.2.attn_out.weight | Float16 | [1280, 1280]
v.blk.2.attn_q.bias | Float32 | [1280]
v.blk.2.attn_k.bias | Float32 | [1280]
v.blk.2.attn_v.bias | Float32 | [1280]
v.blk.2.attn_q.weight | Float16 | [1280, 1280]
v.blk.2.attn_k.weight | Float16 | [1280, 1280]
v.blk.2.attn_v.weight | Float16 | [1280, 1280]
v.blk.2.ffn_down.bias | Float32 | [1280]
v.blk.2.ffn_down.weight | Float16 | [3420, 1280]
v.blk.2.ffn_gate.bias | Float32 | [3420]
v.blk.2.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.2.ffn_up.bias | Float32 | [3420]
v.blk.2.ffn_up.weight | Float16 | [1280, 3420]
v.blk.2.ln1.weight | Float32 | [1280]
v.blk.2.ln2.weight | Float32 | [1280]
v.blk.20.attn_out.bias | Float32 | [1280]
v.blk.20.attn_out.weight | Float16 | [1280, 1280]
v.blk.20.attn_q.bias | Float32 | [1280]
v.blk.20.attn_k.bias | Float32 | [1280]
v.blk.20.attn_v.bias | Float32 | [1280]
v.blk.20.attn_q.weight | Float16 | [1280, 1280]
v.blk.20.attn_k.weight | Float16 | [1280, 1280]
v.blk.20.attn_v.weight | Float16 | [1280, 1280]
v.blk.20.ffn_down.bias | Float32 | [1280]
v.blk.20.ffn_down.weight | Float16 | [3420, 1280]
v.blk.20.ffn_gate.bias | Float32 | [3420]
v.blk.20.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.20.ffn_up.bias | Float32 | [3420]
v.blk.20.ffn_up.weight | Float16 | [1280, 3420]
v.blk.20.ln1.weight | Float32 | [1280]
v.blk.20.ln2.weight | Float32 | [1280]
v.blk.21.attn_out.bias | Float32 | [1280]
v.blk.21.attn_out.weight | Float16 | [1280, 1280]
v.blk.21.attn_q.bias | Float32 | [1280]
v.blk.21.attn_k.bias | Float32 | [1280]
v.blk.21.attn_v.bias | Float32 | [1280]
v.blk.21.attn_q.weight | Float16 | [1280, 1280]
v.blk.21.attn_k.weight | Float16 | [1280, 1280]
v.blk.21.attn_v.weight | Float16 | [1280, 1280]
v.blk.21.ffn_down.bias | Float32 | [1280]
v.blk.21.ffn_down.weight | Float16 | [3420, 1280]
v.blk.21.ffn_gate.bias | Float32 | [3420]
v.blk.21.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.21.ffn_up.bias | Float32 | [3420]
v.blk.21.ffn_up.weight | Float16 | [1280, 3420]
v.blk.21.ln1.weight | Float32 | [1280]
v.blk.21.ln2.weight | Float32 | [1280]
v.blk.22.attn_out.bias | Float32 | [1280]
v.blk.22.attn_out.weight | Float16 | [1280, 1280]
v.blk.22.attn_q.bias | Float32 | [1280]
v.blk.22.attn_k.bias | Float32 | [1280]
v.blk.22.attn_v.bias | Float32 | [1280]
v.blk.22.attn_q.weight | Float16 | [1280, 1280]
v.blk.22.attn_k.weight | Float16 | [1280, 1280]
v.blk.22.attn_v.weight | Float16 | [1280, 1280]
v.blk.22.ffn_down.bias | Float32 | [1280]
v.blk.22.ffn_down.weight | Float16 | [3420, 1280]
v.blk.22.ffn_gate.bias | Float32 | [3420]
v.blk.22.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.22.ffn_up.bias | Float32 | [3420]
v.blk.22.ffn_up.weight | Float16 | [1280, 3420]
v.blk.22.ln1.weight | Float32 | [1280]
v.blk.22.ln2.weight | Float32 | [1280]
v.blk.23.attn_out.bias | Float32 | [1280]
v.blk.23.attn_out.weight | Float16 | [1280, 1280]
v.blk.23.attn_q.bias | Float32 | [1280]
v.blk.23.attn_k.bias | Float32 | [1280]
v.blk.23.attn_v.bias | Float32 | [1280]
v.blk.23.attn_q.weight | Float16 | [1280, 1280]
v.blk.23.attn_k.weight | Float16 | [1280, 1280]
v.blk.23.attn_v.weight | Float16 | [1280, 1280]
v.blk.23.ffn_down.bias | Float32 | [1280]
v.blk.23.ffn_down.weight | Float16 | [3420, 1280]
v.blk.23.ffn_gate.bias | Float32 | [3420]
v.blk.23.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.23.ffn_up.bias | Float32 | [3420]
v.blk.23.ffn_up.weight | Float16 | [1280, 3420]
v.blk.23.ln1.weight | Float32 | [1280]
v.blk.23.ln2.weight | Float32 | [1280]
v.blk.24.attn_out.bias | Float32 | [1280]
v.blk.24.attn_out.weight | Float16 | [1280, 1280]
v.blk.24.attn_q.bias | Float32 | [1280]
v.blk.24.attn_k.bias | Float32 | [1280]
v.blk.24.attn_v.bias | Float32 | [1280]
v.blk.24.attn_q.weight | Float16 | [1280, 1280]
v.blk.24.attn_k.weight | Float16 | [1280, 1280]
v.blk.24.attn_v.weight | Float16 | [1280, 1280]
v.blk.24.ffn_down.bias | Float32 | [1280]
v.blk.24.ffn_down.weight | Float16 | [3420, 1280]
v.blk.24.ffn_gate.bias | Float32 | [3420]
v.blk.24.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.24.ffn_up.bias | Float32 | [3420]
v.blk.24.ffn_up.weight | Float16 | [1280, 3420]
v.blk.24.ln1.weight | Float32 | [1280]
v.blk.24.ln2.weight | Float32 | [1280]
v.blk.25.attn_out.bias | Float32 | [1280]
v.blk.25.attn_out.weight | Float16 | [1280, 1280]
v.blk.25.attn_q.bias | Float32 | [1280]
v.blk.25.attn_k.bias | Float32 | [1280]
v.blk.25.attn_v.bias | Float32 | [1280]
v.blk.25.attn_q.weight | Float16 | [1280, 1280]
v.blk.25.attn_k.weight | Float16 | [1280, 1280]
v.blk.25.attn_v.weight | Float16 | [1280, 1280]
v.blk.25.ffn_down.bias | Float32 | [1280]
v.blk.25.ffn_down.weight | Float16 | [3420, 1280]
v.blk.25.ffn_gate.bias | Float32 | [3420]
v.blk.25.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.25.ffn_up.bias | Float32 | [3420]
v.blk.25.ffn_up.weight | Float16 | [1280, 3420]
v.blk.25.ln1.weight | Float32 | [1280]
v.blk.25.ln2.weight | Float32 | [1280]
v.blk.26.attn_out.bias | Float32 | [1280]
v.blk.26.attn_out.weight | Float16 | [1280, 1280]
v.blk.26.attn_q.bias | Float32 | [1280]
v.blk.26.attn_k.bias | Float32 | [1280]
v.blk.26.attn_v.bias | Float32 | [1280]
v.blk.26.attn_q.weight | Float16 | [1280, 1280]
v.blk.26.attn_k.weight | Float16 | [1280, 1280]
v.blk.26.attn_v.weight | Float16 | [1280, 1280]
v.blk.26.ffn_down.bias | Float32 | [1280]
v.blk.26.ffn_down.weight | Float16 | [3420, 1280]
v.blk.26.ffn_gate.bias | Float32 | [3420]
v.blk.26.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.26.ffn_up.bias | Float32 | [3420]
v.blk.26.ffn_up.weight | Float16 | [1280, 3420]
v.blk.26.ln1.weight | Float32 | [1280]
v.blk.26.ln2.weight | Float32 | [1280]
v.blk.27.attn_out.bias | Float32 | [1280]
v.blk.27.attn_out.weight | Float16 | [1280, 1280]
v.blk.27.attn_q.bias | Float32 | [1280]
v.blk.27.attn_k.bias | Float32 | [1280]
v.blk.27.attn_v.bias | Float32 | [1280]
v.blk.27.attn_q.weight | Float16 | [1280, 1280]
v.blk.27.attn_k.weight | Float16 | [1280, 1280]
v.blk.27.attn_v.weight | Float16 | [1280, 1280]
v.blk.27.ffn_down.bias | Float32 | [1280]
v.blk.27.ffn_down.weight | Float16 | [3420, 1280]
v.blk.27.ffn_gate.bias | Float32 | [3420]
v.blk.27.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.27.ffn_up.bias | Float32 | [3420]
v.blk.27.ffn_up.weight | Float16 | [1280, 3420]
v.blk.27.ln1.weight | Float32 | [1280]
v.blk.27.ln2.weight | Float32 | [1280]
v.blk.28.attn_out.bias | Float32 | [1280]
v.blk.28.attn_out.weight | Float16 | [1280, 1280]
v.blk.28.attn_q.bias | Float32 | [1280]
v.blk.28.attn_k.bias | Float32 | [1280]
v.blk.28.attn_v.bias | Float32 | [1280]
v.blk.28.attn_q.weight | Float16 | [1280, 1280]
v.blk.28.attn_k.weight | Float16 | [1280, 1280]
v.blk.28.attn_v.weight | Float16 | [1280, 1280]
v.blk.28.ffn_down.bias | Float32 | [1280]
v.blk.28.ffn_down.weight | Float16 | [3420, 1280]
v.blk.28.ffn_gate.bias | Float32 | [3420]
v.blk.28.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.28.ffn_up.bias | Float32 | [3420]
v.blk.28.ffn_up.weight | Float16 | [1280, 3420]
v.blk.28.ln1.weight | Float32 | [1280]
v.blk.28.ln2.weight | Float32 | [1280]
v.blk.29.attn_out.bias | Float32 | [1280]
v.blk.29.attn_out.weight | Float16 | [1280, 1280]
v.blk.29.attn_q.bias | Float32 | [1280]
v.blk.29.attn_k.bias | Float32 | [1280]
v.blk.29.attn_v.bias | Float32 | [1280]
v.blk.29.attn_q.weight | Float16 | [1280, 1280]
v.blk.29.attn_k.weight | Float16 | [1280, 1280]
v.blk.29.attn_v.weight | Float16 | [1280, 1280]
v.blk.29.ffn_down.bias | Float32 | [1280]
v.blk.29.ffn_down.weight | Float16 | [3420, 1280]
v.blk.29.ffn_gate.bias | Float32 | [3420]
v.blk.29.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.29.ffn_up.bias | Float32 | [3420]
v.blk.29.ffn_up.weight | Float16 | [1280, 3420]
v.blk.29.ln1.weight | Float32 | [1280]
v.blk.29.ln2.weight | Float32 | [1280]
v.blk.3.attn_out.bias | Float32 | [1280]
v.blk.3.attn_out.weight | Float16 | [1280, 1280]
v.blk.3.attn_q.bias | Float32 | [1280]
v.blk.3.attn_k.bias | Float32 | [1280]
v.blk.3.attn_v.bias | Float32 | [1280]
v.blk.3.attn_q.weight | Float16 | [1280, 1280]
v.blk.3.attn_k.weight | Float16 | [1280, 1280]
v.blk.3.attn_v.weight | Float16 | [1280, 1280]
v.blk.3.ffn_down.bias | Float32 | [1280]
v.blk.3.ffn_down.weight | Float16 | [3420, 1280]
v.blk.3.ffn_gate.bias | Float32 | [3420]
v.blk.3.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.3.ffn_up.bias | Float32 | [3420]
v.blk.3.ffn_up.weight | Float16 | [1280, 3420]
v.blk.3.ln1.weight | Float32 | [1280]
v.blk.3.ln2.weight | Float32 | [1280]
v.blk.30.attn_out.bias | Float32 | [1280]
v.blk.30.attn_out.weight | Float16 | [1280, 1280]
v.blk.30.attn_q.bias | Float32 | [1280]
v.blk.30.attn_k.bias | Float32 | [1280]
v.blk.30.attn_v.bias | Float32 | [1280]
v.blk.30.attn_q.weight | Float16 | [1280, 1280]
v.blk.30.attn_k.weight | Float16 | [1280, 1280]
v.blk.30.attn_v.weight | Float16 | [1280, 1280]
v.blk.30.ffn_down.bias | Float32 | [1280]
v.blk.30.ffn_down.weight | Float16 | [3420, 1280]
v.blk.30.ffn_gate.bias | Float32 | [3420]
v.blk.30.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.30.ffn_up.bias | Float32 | [3420]
v.blk.30.ffn_up.weight | Float16 | [1280, 3420]
v.blk.30.ln1.weight | Float32 | [1280]
v.blk.30.ln2.weight | Float32 | [1280]
v.blk.31.attn_out.bias | Float32 | [1280]
v.blk.31.attn_out.weight | Float16 | [1280, 1280]
v.blk.31.attn_q.bias | Float32 | [1280]
v.blk.31.attn_k.bias | Float32 | [1280]
v.blk.31.attn_v.bias | Float32 | [1280]
v.blk.31.attn_q.weight | Float16 | [1280, 1280]
v.blk.31.attn_k.weight | Float16 | [1280, 1280]
v.blk.31.attn_v.weight | Float16 | [1280, 1280]
v.blk.31.ffn_down.bias | Float32 | [1280]
v.blk.31.ffn_down.weight | Float16 | [3420, 1280]
v.blk.31.ffn_gate.bias | Float32 | [3420]
v.blk.31.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.31.ffn_up.bias | Float32 | [3420]
v.blk.31.ffn_up.weight | Float16 | [1280, 3420]
v.blk.31.ln1.weight | Float32 | [1280]
v.blk.31.ln2.weight | Float32 | [1280]
v.blk.4.attn_out.bias | Float32 | [1280]
v.blk.4.attn_out.weight | Float16 | [1280, 1280]
v.blk.4.attn_q.bias | Float32 | [1280]
v.blk.4.attn_k.bias | Float32 | [1280]
v.blk.4.attn_v.bias | Float32 | [1280]
v.blk.4.attn_q.weight | Float16 | [1280, 1280]
v.blk.4.attn_k.weight | Float16 | [1280, 1280]
v.blk.4.attn_v.weight | Float16 | [1280, 1280]
v.blk.4.ffn_down.bias | Float32 | [1280]
v.blk.4.ffn_down.weight | Float16 | [3420, 1280]
v.blk.4.ffn_gate.bias | Float32 | [3420]
v.blk.4.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.4.ffn_up.bias | Float32 | [3420]
v.blk.4.ffn_up.weight | Float16 | [1280, 3420]
v.blk.4.ln1.weight | Float32 | [1280]
v.blk.4.ln2.weight | Float32 | [1280]
v.blk.5.attn_out.bias | Float32 | [1280]
v.blk.5.attn_out.weight | Float16 | [1280, 1280]
v.blk.5.attn_q.bias | Float32 | [1280]
v.blk.5.attn_k.bias | Float32 | [1280]
v.blk.5.attn_v.bias | Float32 | [1280]
v.blk.5.attn_q.weight | Float16 | [1280, 1280]
v.blk.5.attn_k.weight | Float16 | [1280, 1280]
v.blk.5.attn_v.weight | Float16 | [1280, 1280]
v.blk.5.ffn_down.bias | Float32 | [1280]
v.blk.5.ffn_down.weight | Float16 | [3420, 1280]
v.blk.5.ffn_gate.bias | Float32 | [3420]
v.blk.5.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.5.ffn_up.bias | Float32 | [3420]
v.blk.5.ffn_up.weight | Float16 | [1280, 3420]
v.blk.5.ln1.weight | Float32 | [1280]
v.blk.5.ln2.weight | Float32 | [1280]
v.blk.6.attn_out.bias | Float32 | [1280]
v.blk.6.attn_out.weight | Float16 | [1280, 1280]
v.blk.6.attn_q.bias | Float32 | [1280]
v.blk.6.attn_k.bias | Float32 | [1280]
v.blk.6.attn_v.bias | Float32 | [1280]
v.blk.6.attn_q.weight | Float16 | [1280, 1280]
v.blk.6.attn_k.weight | Float16 | [1280, 1280]
v.blk.6.attn_v.weight | Float16 | [1280, 1280]
v.blk.6.ffn_down.bias | Float32 | [1280]
v.blk.6.ffn_down.weight | Float16 | [3420, 1280]
v.blk.6.ffn_gate.bias | Float32 | [3420]
v.blk.6.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.6.ffn_up.bias | Float32 | [3420]
v.blk.6.ffn_up.weight | Float16 | [1280, 3420]
v.blk.6.ln1.weight | Float32 | [1280]
v.blk.6.ln2.weight | Float32 | [1280]
v.blk.7.attn_out.bias | Float32 | [1280]
v.blk.7.attn_out.weight | Float16 | [1280, 1280]
v.blk.7.attn_q.bias | Float32 | [1280]
v.blk.7.attn_k.bias | Float32 | [1280]
v.blk.7.attn_v.bias | Float32 | [1280]
v.blk.7.attn_q.weight | Float16 | [1280, 1280]
v.blk.7.attn_k.weight | Float16 | [1280, 1280]
v.blk.7.attn_v.weight | Float16 | [1280, 1280]
v.blk.7.ffn_down.bias | Float32 | [1280]
v.blk.7.ffn_down.weight | Float16 | [3420, 1280]
v.blk.7.ffn_gate.bias | Float32 | [3420]
v.blk.7.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.7.ffn_up.bias | Float32 | [3420]
v.blk.7.ffn_up.weight | Float16 | [1280, 3420]
v.blk.7.ln1.weight | Float32 | [1280]
v.blk.7.ln2.weight | Float32 | [1280]
v.blk.8.attn_out.bias | Float32 | [1280]
v.blk.8.attn_out.weight | Float16 | [1280, 1280]
v.blk.8.attn_q.bias | Float32 | [1280]
v.blk.8.attn_k.bias | Float32 | [1280]
v.blk.8.attn_v.bias | Float32 | [1280]
v.blk.8.attn_q.weight | Float16 | [1280, 1280]
v.blk.8.attn_k.weight | Float16 | [1280, 1280]
v.blk.8.attn_v.weight | Float16 | [1280, 1280]
v.blk.8.ffn_down.bias | Float32 | [1280]
v.blk.8.ffn_down.weight | Float16 | [3420, 1280]
v.blk.8.ffn_gate.bias | Float32 | [3420]
v.blk.8.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.8.ffn_up.bias | Float32 | [3420]
v.blk.8.ffn_up.weight | Float16 | [1280, 3420]
v.blk.8.ln1.weight | Float32 | [1280]
v.blk.8.ln2.weight | Float32 | [1280]
v.blk.9.attn_out.bias | Float32 | [1280]
v.blk.9.attn_out.weight | Float16 | [1280, 1280]
v.blk.9.attn_q.bias | Float32 | [1280]
v.blk.9.attn_k.bias | Float32 | [1280]
v.blk.9.attn_v.bias | Float32 | [1280]
v.blk.9.attn_q.weight | Float16 | [1280, 1280]
v.blk.9.attn_k.weight | Float16 | [1280, 1280]
v.blk.9.attn_v.weight | Float16 | [1280, 1280]
v.blk.9.ffn_down.bias | Float32 | [1280]
v.blk.9.ffn_down.weight | Float16 | [3420, 1280]
v.blk.9.ffn_gate.bias | Float32 | [3420]
v.blk.9.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.9.ffn_up.bias | Float32 | [3420]
v.blk.9.ffn_up.weight | Float16 | [1280, 3420]
v.blk.9.ln1.weight | Float32 | [1280]
v.blk.9.ln2.weight | Float32 | [1280]
v.post_ln.weight | Float32 | [1280]
mm.0.bias | Float32 | [5120]
mm.0.weight | Float16 | [5120, 5120]
